group,support,atomsAcceptor,atomsAromatic,atomsDonor,atomsAcceptor/Donor,atomsHydrophobic,atomsAromatic/Hydrophobic,atomsNegative,atomsAcceptor/Negative,atomsPositive,atomsDonor/Positive,interAromatic,interHydrophobic,interHydrogen bond,interRepulsive,interSalt bridge
0,0.8,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0.7,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0.6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,1.0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0.9,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
1,0.8,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0
1,0.7,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0
1,0.6,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0
1,1.0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
1,0.9,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0
2,0.8,0,0,0,0,2,4,0,0,0,0,1,3,0,0,0
2,0.7,0,0,0,0,2,4,0,0,0,0,1,3,0,0,0
2,0.6,0,0,0,0,2,4,0,0,0,0,1,3,0,0,0
2,1.0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0
2,0.9,0,0,0,0,2,4,0,0,0,0,1,3,0,0,0
3,0.8,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
3,0.7,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
3,0.6,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
3,1.0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
3,0.9,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
4,0.8,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
4,0.7,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
4,0.6,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
4,1.0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
4,0.9,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
5,0.8,0,0,0,0,0,0,2,13,22,19,0,0,7,14,38
5,0.7,0,0,4,0,0,0,8,18,20,24,0,0,13,18,69
5,0.6,8,0,4,0,0,0,16,20,20,30,0,0,23,24,85
5,1.0,0,0,0,0,0,0,0,2,6,3,0,0,1,2,5
5,0.9,0,0,0,0,0,0,0,8,10,10,0,0,4,4,26
6,0.8,0,0,0,0,0,0,9,10,53,10,0,0,4,43,37
6,0.7,0,0,0,0,0,0,10,20,50,20,0,0,7,40,49
6,0.6,0,0,0,0,0,0,10,20,60,20,0,0,6,51,53
6,1.0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0
6,0.9,0,0,0,0,0,0,4,10,50,10,0,0,0,47,23
7,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
7,0.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
7,0.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
7,1.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
7,0.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
8,0.8,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0
8,0.7,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0
8,0.6,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0
8,1.0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
8,0.9,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
9,0.8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,0.7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,0.6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,0.9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10,0.8,0,0,0,0,0,0,2,0,3,0,0,0,0,0,5
10,0.7,0,0,0,0,0,0,4,0,7,0,0,0,0,0,10
10,0.6,0,0,0,0,0,0,11,0,25,0,0,0,0,6,27
10,1.0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3
10,0.9,0,0,0,0,0,0,6,0,8,0,0,0,0,0,12
11,0.8,0,0,0,0,0,0,0,2,4,2,0,0,1,0,5
11,0.7,0,0,0,0,0,0,0,2,4,2,0,0,1,0,5
11,0.6,0,0,0,0,0,0,2,4,10,4,0,0,2,0,16
11,1.0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,3
11,0.9,0,0,0,0,0,0,0,2,4,2,0,0,1,0,5
12,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
