group,support,patternSize,occurrences
1,0.8,2,1
1,0.7,2,1
1,0.6,2,1
1,1.0,2,1
1,0.9,2,1
2,0.8,5,1
2,0.7,5,1
2,0.6,5,2
2,1.0,3,1
2,0.9,4,1
3,0.8,3,2
3,0.7,3,2
3,0.6,3,2
3,1.0,2,2
3,0.9,3,2
4,0.8,3,1
4,0.7,3,1
4,0.6,3,1
4,1.0,3,1
4,0.9,3,1
5,0.8,3,1
5,0.7,3,1
5,0.6,3,1
5,1.0,3,1
5,0.9,3,1
6,0.8,4,1
6,0.8,5,2
6,0.8,6,7
6,0.7,7,6
6,0.7,8,4
6,0.6,9,2
6,0.6,10,8
6,1.0,3,1
6,1.0,4,2
6,0.9,5,2
6,0.9,6,3
7,0.8,8,8
7,0.8,9,2
7,0.7,10,10
7,0.6,11,10
7,1.0,4,1
7,0.9,7,6
7,0.9,8,4
8,0.8,2,1
8,0.7,2,1
8,0.6,2,1
8,1.0,2,1
8,0.9,2,1
9,0.8,4,1
9,0.7,4,1
9,0.6,4,1
9,1.0,3,1
9,0.9,3,1
10,0.8,2,1
10,0.7,2,1
10,0.6,2,1
10,1.0,2,1
10,0.9,2,1
11,0.8,5,1
11,0.7,5,1
11,0.7,6,1
11,0.6,3,1
11,0.6,5,3
11,0.6,6,3
11,1.0,4,1
11,0.9,4,1
11,0.9,5,2
12,0.8,4,2
12,0.7,4,2
12,0.6,5,4
12,1.0,3,2
12,0.9,4,2
