"graph","group","pdb","chain","ligand"
0,2,"1BXL","A","B"
1,11,"1BXL","A","B"
2,2,"1BXL","A","B"
3,1,"1BXL","A","B"
4,8,"1BXL","A","B"
5,1,"1BXL","A","B"
6,5,"1BXL","A","B"
7,1,"1G5J","A","B"
8,1,"1G5J","A","B"
9,1,"1G5J","A","B"
10,2,"1G5J","A","B"
11,8,"1G5J","A","B"
12,1,"1G5J","A","B"
13,3,"1G5J","A","B"
14,5,"1G5J","A","B"
15,1,"1G5J","A","B"
16,1,"1G5J","A","B"
17,8,"1G5J","A","B"
18,8,"1G5J","A","B"
19,2,"1G5J","A","B"
20,4,"1G5J","A","B"
21,1,"2BZW","A","B"
22,9,"2BZW","A","B"
23,10,"2BZW","A","B"
24,10,"2BZW","A","B"
25,1,"2BZW","A","B"
26,1,"2BZW","A","B"
27,1,"2BZW","A","B"
28,1,"2BZW","A","B"
29,7,"2BZW","A","B"
30,1,"2BZW","A","B"
31,13,"2BZW","A","B"
32,1,"2P1L","A","B"
33,5,"2P1L","A","B"
34,1,"2P1L","A","B"
35,5,"2P1L","A","B"
36,1,"2P1L","A","B"
37,10,"2P1L","A","B"
38,1,"2P1L","A","B"
39,6,"2P1L","A","B"
40,3,"2P1L","A","B"
41,13,"2P1L","A","B"
42,1,"2P1L","C","D"
43,1,"2P1L","C","D"
44,1,"2P1L","C","D"
45,5,"2P1L","C","D"
46,1,"2P1L","C","D"
47,6,"2P1L","C","D"
48,3,"2P1L","C","D"
49,13,"2P1L","C","D"
50,1,"2P1L","E","F"
51,5,"2P1L","E","F"
52,5,"2P1L","E","F"
53,1,"2P1L","E","F"
54,4,"2P1L","E","F"
55,1,"2P1L","E","F"
56,6,"2P1L","E","F"
57,1,"2P1L","E","F"
58,1,"2P1L","E","F"
59,3,"2P1L","E","F"
60,5,"2P1L","G","H"
61,1,"2P1L","G","H"
62,4,"2P1L","G","H"
63,1,"2P1L","G","H"
64,5,"2P1L","G","H"
65,1,"2P1L","G","H"
66,6,"2P1L","G","H"
67,1,"2P1L","G","H"
68,3,"2P1L","G","H"
69,4,"2VM6","A","B"
70,5,"2VM6","A","B"
71,11,"2VM6","A","B"
72,5,"2VM6","A","B"
73,1,"2VM6","A","B"
74,9,"2VM6","A","B"
75,1,"2VM6","A","B"
76,1,"2VM6","A","B"
77,9,"2VM6","A","B"
78,6,"2VM6","A","B"
79,1,"2VM6","A","B"
80,1,"2VM6","A","B"
81,8,"2VM6","A","B"
82,10,"2VM6","A","B"
83,3,"2VM6","A","B"
84,11,"2VM6","A","B"
85,1,"2VOF","A","B"
86,13,"2VOF","A","B"
87,1,"2VOF","A","B"
88,1,"2VOF","A","B"
89,5,"2VOF","A","B"
90,5,"2VOF","A","B"
91,10,"2VOF","A","B"
92,3,"2VOF","A","B"
93,1,"2VOF","A","B"
94,4,"2VOF","A","B"
95,7,"2VOF","A","B"
96,5,"2VOF","A","B"
97,10,"2VOF","A","B"
98,2,"2VOF","A","B"
99,1,"2VOF","C","D"
100,1,"2VOF","C","D"
101,9,"2VOF","C","D"
102,1,"2VOF","C","D"
103,1,"2VOF","C","D"
104,5,"2VOF","C","D"
105,7,"2VOF","C","D"
106,5,"2VOF","C","D"
107,10,"2VOF","C","D"
108,4,"2VOF","C","D"
109,4,"2VOG","A","B"
110,8,"2VOG","A","B"
111,1,"2VOG","A","B"
112,5,"2VOG","A","B"
113,1,"2VOG","A","B"
114,1,"2VOG","A","B"
115,10,"2VOG","A","B"
116,1,"2VOG","A","B"
117,5,"2VOG","A","B"
118,10,"2VOG","A","B"
119,1,"2VOG","A","B"
