"graph","group","pdb","chain","ligand"
0,3,"AT1G06220.1_ranked_0","A","B"
1,3,"AT1G06220.1_ranked_0","A","B"
2,13,"AT1G06220.1_ranked_0","A","B"
3,17,"AT1G06220.1_ranked_0","A","B"
4,14,"AT1G06220.1_ranked_0","A","B"
5,6,"AT1G06220.1_ranked_0","A","B"
6,6,"AT1G06220.1_ranked_0","A","B"
7,6,"AT1G06220.1_ranked_0","A","B"
8,8,"AT1G06220.1_ranked_0","A","B"
9,17,"AT1G06220.1_ranked_0","A","B"
10,6,"AT1G06220.1_ranked_1","A","B"
11,3,"AT1G06220.1_ranked_1","A","B"
12,6,"AT1G06220.1_ranked_1","A","B"
13,6,"AT1G06220.1_ranked_1","A","B"
14,6,"AT1G06220.1_ranked_1","A","B"
15,6,"AT1G06220.1_ranked_1","A","B"
16,15,"AT1G06220.1_ranked_1","A","B"
17,6,"AT1G06220.1_ranked_1","A","B"
18,17,"AT1G06220.1_ranked_1","A","B"
19,5,"AT1G06220.1_ranked_1","A","B"
20,6,"AT1G06220.1_ranked_1","A","B"
21,9,"AT1G06220.1_ranked_1","A","B"
22,6,"AT1G06220.1_ranked_1","A","B"
23,5,"AT1G06220.1_ranked_1","A","B"
24,6,"AT1G06220.1_ranked_1","A","B"
25,7,"AT1G06220.1_ranked_1","A","B"
26,2,"AT1G06220.1_ranked_1","A","B"
27,1,"AT1G06220.1_ranked_1","A","B"
28,6,"AT1G06220.1_ranked_1","A","B"
29,3,"AT1G06220.1_ranked_1","A","B"
30,3,"AT1G06220.1_ranked_1","A","B"
31,1,"AT1G06950.1_ranked_0","A","B"
32,13,"AT1G06950.1_ranked_1","A","B"
33,1,"AT1G06950.1_ranked_1","A","B"
34,17,"AT1G06950.1_ranked_1","A","B"
35,11,"AT1G06950.1_ranked_2","A","B"
36,5,"AT1G06950.1_ranked_2","A","B"
37,8,"AT1G06950.1_ranked_2","A","B"
38,3,"AT1G12900.5_ranked_0","A","B"
39,14,"AT1G12900.5_ranked_0","A","B"
40,11,"AT1G12900.5_ranked_0","A","B"
41,7,"AT1G12900.5_ranked_0","A","B"
42,16,"AT1G12900.5_ranked_0","A","B"
43,1,"AT1G12900.5_ranked_0","A","B"
44,6,"AT1G12900.5_ranked_0","A","B"
45,3,"AT1G12900.5_ranked_0","A","B"
46,12,"AT1G12900.5_ranked_0","A","B"
47,7,"AT1G12900.5_ranked_1","A","B"
48,9,"AT1G12900.5_ranked_1","A","B"
49,6,"AT1G12900.5_ranked_2","A","B"
50,13,"AT1G12900.5_ranked_2","A","B"
51,13,"AT1G12900.5_ranked_2","A","B"
52,3,"AT1G12900.5_ranked_2","A","B"
53,13,"AT1G12900.5_ranked_2","A","B"
54,3,"AT1G12900.5_ranked_2","A","B"
55,9,"AT1G20010.1_ranked_0","A","B"
56,16,"AT1G20010.1_ranked_0","A","B"
57,1,"AT1G20010.1_ranked_0","A","B"
58,16,"AT1G20010.1_ranked_0","A","B"
59,6,"AT1G20010.1_ranked_0","A","B"
60,3,"AT1G20010.1_ranked_0","A","B"
61,3,"AT1G20010.1_ranked_0","A","B"
62,17,"AT1G20010.1_ranked_0","A","B"
63,13,"AT1G20010.1_ranked_0","A","B"
64,1,"AT1G20010.1_ranked_0","A","B"
65,11,"AT1G20010.1_ranked_0","A","B"
66,12,"AT1G20010.1_ranked_0","A","B"
67,17,"AT1G20010.1_ranked_0","A","B"
68,16,"AT1G20010.1_ranked_1","A","B"
69,15,"AT1G20010.1_ranked_1","A","B"
70,15,"AT1G20010.1_ranked_1","A","B"
71,1,"AT1G20010.1_ranked_1","A","B"
72,6,"AT1G20010.1_ranked_1","A","B"
73,1,"AT1G20010.1_ranked_1","A","B"
74,9,"AT1G20010.1_ranked_1","A","B"
75,16,"AT1G20010.1_ranked_2","A","B"
76,9,"AT1G20010.1_ranked_2","A","B"
77,3,"AT1G20010.1_ranked_2","A","B"
78,16,"AT1G20010.1_ranked_2","A","B"
79,2,"AT1G20010.1_ranked_2","A","B"
80,3,"AT1G20010.1_ranked_2","A","B"
81,3,"AT1G20010.1_ranked_2","A","B"
82,3,"AT1G20010.1_ranked_2","A","B"
83,12,"AT1G20010.1_ranked_2","A","B"
84,17,"AT1G20010.1_ranked_2","A","B"
85,1,"AT1G20010.1_ranked_2","A","B"
86,6,"AT1G20010.1_ranked_2","A","B"
87,11,"AT1G20010.1_ranked_2","A","B"
88,17,"AT1G20010.1_ranked_2","A","B"
89,12,"AT1G20010.1_ranked_2","A","B"
90,6,"AT1G20620.6_ranked_0","A","B"
91,2,"AT1G20620.6_ranked_0","A","B"
92,8,"AT1G20620.6_ranked_0","A","B"
93,2,"AT1G20620.6_ranked_0","A","B"
94,3,"AT1G20620.6_ranked_0","A","B"
95,4,"AT1G20620.6_ranked_0","A","B"
96,6,"AT1G20620.6_ranked_0","A","B"
97,9,"AT1G20620.6_ranked_0","A","B"
98,3,"AT1G20620.6_ranked_0","A","B"
99,3,"AT1G20620.6_ranked_0","A","B"
100,10,"AT1G20620.6_ranked_0","A","B"
101,6,"AT1G20620.6_ranked_1","A","B"
102,3,"AT1G20620.6_ranked_1","A","B"
